id,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max
2002-09-1545.61569.28111,23.9,9.4,17.2,0.0,14.1
2002-09-2939.795-86.2347,25.5,14.0,19.4,0.0,11.3
2002-10-1334.8431136.541,24.8,17.4,20.4,0.0,17.1
2001-03-04-37.8497144.968,25.0,15.9,19.9,0.0,21.7
2001-03-182.76083101.738,29.1,23.9,26.3,1.3,15.5
2001-04-01-23.7036-46.6997,26.8,17.2,21.4,9.3,7.9
2001-04-1544.343911.7167,13.7,-0.4,8.5,0.0,16.8
2001-04-2941.572.26111,17.6,9.6,14.2,0.4,21.3
2001-05-1347.219714.7647,18.8,5.8,12.2,0.0,11.3
2001-05-2743.73477.42056,24.6,18.3,21.9,0.0,7.8
2001-06-1045.5-73.5228,24.8,13.9,19.4,0.1,17.3
2001-06-2450.33566.9475,21.1,9.6,16.3,0.0,8.4
2001-07-0146.86423.16361,23.6,15.6,19.5,0.0,13.3
2001-07-1552.0786-1.01694,16.1,7.8,12.8,0.1,11.9
2001-07-2949.32788.56583,28.2,18.6,23.8,0.0,12.2
2001-08-1947.578919.2486,29.8,18.2,24.1,0.2,8.7
2001-09-0250.43725.97139,15.5,7.7,13.1,1.5,20.2
2001-09-1645.61569.28111,20.3,9.0,14.5,0.0,11.7
2001-09-3039.795-86.2347,20.6,7.9,14.3,0.0,11.4
2001-10-1434.8431136.541,22.7,12.5,17.0,0.0,11.8
2000-03-12-37.8497144.968,29.6,18.5,23.5,0.0,22.8
2000-03-26-23.7036-46.6997,25.4,17.9,20.7,0.8,13.0
2000-04-0944.343911.7167,17.6,5.6,11.9,0.8,15.9
2000-04-2352.0786-1.01694,13.7,3.0,8.6,0.8,14.1
2000-05-0741.572.26111,21.2,13.9,17.1,1.7,14.5
2000-05-2150.33566.9475,10.3,3.1,7.7,5.5,18.1
2000-06-0443.73477.42056,24.8,18.3,21.9,0.0,9.2
2000-06-1845.5-73.5228,16.8,11.0,14.3,1.9,12.5
2000-07-0246.86423.16361,29.8,16.1,22.5,1.2,17.7
2000-07-1647.219714.7647,15.3,7.5,11.6,0.0,15.3
2000-07-3049.32788.56583,21.0,13.8,17.0,4.4,9.9
2000-08-1347.578919.2486,31.0,16.9,24.1,0.2,11.4
2000-08-2750.43725.97139,17.2,11.6,14.7,5.2,14.1
2000-09-1045.61569.28111,25.3,12.1,19.2,0.0,6.9
2000-09-2439.795-86.2347,19.7,12.9,14.8,10.5,18.5
2000-10-0834.8431136.541,23.2,18.2,19.6,47.8,21.3
2000-10-222.76083101.738,29.1,24.1,26.4,1.1,15.5
2009-03-29-37.8497144.968,24.3,14.3,17.6,0.0,16.6
2009-04-052.76083101.738,28.7,23.1,25.2,25.6,9.3
2009-04-1931.3389121.22,22.2,17.3,19.0,34.7,32.3
2009-04-2626.032550.5106,31.3,26.3,28.3,0.0,28.3
2009-05-1041.572.26111,21.5,14.3,17.9,0.2,14.6
2009-05-2443.73477.42056,26.4,18.3,23.1,0.0,9.0
2009-06-0740.951729.405,29.0,16.0,23.6,0.0,13.5
2009-06-2152.0786-1.01694,15.7,9.2,13.5,0.0,17.1
2009-07-1250.33566.9475,19.2,11.2,14.6,1.9,21.9
2009-07-2647.578919.2486,23.8,13.3,19.0,0.0,19.9
2009-08-2339.4589-0.331667,33.5,20.5,26.7,0.0,20.2
2009-08-3050.43725.97139,17.8,8.2,13.1,0.0,15.7
2009-09-1345.61569.28111,25.9,14.1,20.1,3.6,9.4
2009-09-271.2914103.864,29.3,26.5,28.0,1.2,15.2
2009-10-0434.8431136.541,24.9,16.0,19.6,0.0,9.7
2009-10-18-23.7036-46.6997,23.8,16.3,19.1,24.5,11.0
2009-11-0124.467254.6031,35.0,20.5,28.4,0.0,18.4
2010-03-1426.032550.5106,27.6,18.8,23.1,0.0,15.8
2010-03-28-37.8497144.968,24.9,18.3,20.3,13.8,22.0
2010-04-042.76083101.738,29.7,24.6,27.1,0.6,11.9
2010-04-1831.3389121.22,21.1,14.1,16.4,7.7,26.4
2010-05-0941.572.26111,18.5,10.1,14.8,0.5,18.7
2010-05-1643.73477.42056,19.2,11.0,15.3,1.4,12.2
2010-05-3040.951729.405,26.5,16.5,22.2,0.0,10.9
2010-06-1345.5-73.5228,24.8,12.8,19.4,0.0,11.2
2010-06-2739.4589-0.331667,30.0,17.3,24.6,0.0,13.9
2010-07-1152.0786-1.01694,22.1,15.5,19.2,0.1,25.7
2010-07-2549.32788.56583,21.1,11.6,17.4,0.2,10.4
2010-08-0147.578919.2486,27.2,15.6,21.9,0.0,11.4
2010-08-2950.43725.97139,14.6,8.4,10.7,11.7,34.4
2010-09-1245.61569.28111,22.7,11.6,17.9,0.0,7.6
2010-09-261.2914103.864,28.6,25.1,26.8,29.2,11.4
2010-10-1034.8431136.541,24.3,19.1,21.1,0.0,24.7
2010-10-2434.7333126.417,18.2,15.0,17.2,2.0,35.2
2010-11-07-23.7036-46.6997,23.3,14.5,18.4,0.1,15.3
2010-11-1424.467254.6031,31.7,19.8,26.2,0.4,19.9
2011-03-27-37.8497144.968,20.1,12.0,15.4,0.0,14.0
2011-04-102.76083101.738,27.5,23.3,25.0,29.3,7.4
2011-04-1731.3389121.22,22.3,10.1,15.5,0.0,18.0
2011-05-0840.951729.405,15.5,7.6,11.4,0.0,15.4
2011-05-2241.572.26111,25.5,13.5,20.3,0.0,13.8
2011-05-2943.73477.42056,22.2,14.3,19.3,0.0,8.2
2011-06-1245.5-73.5228,17.3,13.3,15.3,23.5,18.7
2011-06-2639.4589-0.331667,31.7,19.5,26.0,0.0,18.5
2011-07-1052.0786-1.01694,20.0,11.1,15.6,0.6,10.3
2011-07-2450.33566.9475,12.5,7.3,9.5,6.5,20.4
2011-07-3147.578919.2486,17.2,14.2,15.6,1.9,21.6
2011-08-2850.43725.97139,14.6,9.5,12.3,0.5,24.2
