precipitation_sum,temperature_2m_max,temperature_2m_min,temperature_2m_mean,windspeed_10m_max,circuit_id,month,driverId,grid,driver_age,constructor,results
1.7,22.7,15.2,19.7,13.1,34,6,815,13,33,10,0
1.7,22.7,15.2,19.7,13.1,34,6,839,11,27,10,0
1.7,22.7,15.2,19.7,13.1,34,6,842,14,27,5,0
0.0,19.5,12.5,15.4,9.1,70,7,830,4,26,9,1
0.0,19.5,12.5,15.4,9.1,70,7,8,3,44,6,1
0.0,19.5,12.5,15.4,9.1,70,7,20,6,36,6,1
0.0,19.5,12.5,15.4,9.1,70,7,154,5,37,210,1
0.0,19.5,12.5,15.4,9.1,70,7,825,8,31,210,1
0.0,19.5,12.5,15.4,9.1,70,7,839,11,27,10,1
0.0,19.5,12.5,15.4,9.1,70,7,815,16,33,10,1
0.0,19.5,12.5,15.4,9.1,70,7,4,13,42,1,1
0.0,19.5,12.5,15.4,9.1,70,7,844,18,26,15,1
0.0,19.5,12.5,15.4,9.1,70,7,828,20,33,15,1
0.0,19.5,12.5,15.4,9.1,70,7,842,12,27,5,1
0.0,19.5,12.5,15.4,9.1,70,7,832,9,29,4,1
0.0,19.5,12.5,15.4,9.1,70,7,845,17,28,3,1
0.0,19.5,12.5,15.4,9.1,70,7,840,14,24,3,1
0.0,19.5,12.5,15.4,9.1,70,7,838,15,31,1,0
0.0,19.5,12.5,15.4,9.1,70,7,1,2,38,131,0
0.0,19.5,12.5,15.4,9.1,70,7,843,19,33,5,0
0.0,19.5,12.5,15.4,9.1,70,7,817,7,34,9,0
0.0,19.5,12.5,15.4,9.1,70,7,822,1,34,131,0
0.0,19.5,12.5,15.4,9.1,70,7,807,10,36,4,0
0.0,28.4,15.2,22.4,14.1,9,7,20,2,36,6,1
0.0,28.4,15.2,22.4,14.1,9,7,1,1,38,131,1
0.0,28.4,15.2,22.4,14.1,9,7,8,3,44,6,1
0.0,28.4,15.2,22.4,14.1,9,7,822,4,34,131,1
0.0,28.4,15.2,22.4,14.1,9,7,817,6,34,9,1
0.0,28.4,15.2,22.4,14.1,9,7,807,11,36,4,1
0.0,28.4,15.2,22.4,14.1,9,7,839,10,27,10,1
0.0,28.4,15.2,22.4,14.1,9,7,4,13,42,1,1
0.0,28.4,15.2,22.4,14.1,9,7,825,7,31,210,1
0.0,28.4,15.2,22.4,14.1,9,7,815,12,33,10,1
0.0,28.4,15.2,22.4,14.1,9,7,838,17,31,1,1
0.0,28.4,15.2,22.4,14.1,9,7,840,19,24,3,1
0.0,28.4,15.2,22.4,14.1,9,7,842,14,27,5,1
0.0,28.4,15.2,22.4,14.1,9,7,845,18,28,3,1
0.0,28.4,15.2,22.4,14.1,9,7,843,0,33,5,0
0.0,28.4,15.2,22.4,14.1,9,7,830,5,26,9,0
0.0,28.4,15.2,22.4,14.1,9,7,154,8,37,210,0
0.0,28.4,15.2,22.4,14.1,9,7,832,16,29,4,0
0.0,28.4,15.2,22.4,14.1,9,7,828,15,33,15,0
0.0,28.4,15.2,22.4,14.1,9,7,844,9,26,15,0
0.9,26.0,16.3,21.2,10.7,10,7,1,14,38,131,1
0.9,26.0,16.3,21.2,10.7,10,7,822,2,34,131,1
0.9,26.0,16.3,21.2,10.7,10,7,8,3,44,6,1
0.9,26.0,16.3,21.2,10.7,10,7,830,4,26,9,1
0.9,26.0,16.3,21.2,10.7,10,7,807,7,36,4,1
0.9,26.0,16.3,21.2,10.7,10,7,154,6,37,210,1
0.9,26.0,16.3,21.2,10.7,10,7,815,10,33,10,1
0.9,26.0,16.3,21.2,10.7,10,7,839,15,27,10,1
0.9,26.0,16.3,21.2,10.7,10,7,828,13,33,15,1
0.9,26.0,16.3,21.2,10.7,10,7,843,17,33,5,1
0.9,26.0,16.3,21.2,10.7,10,7,825,5,31,210,1
0.9,26.0,16.3,21.2,10.7,10,7,832,8,29,4,1
0.9,26.0,16.3,21.2,10.7,10,7,838,19,31,1,1
0.9,26.0,16.3,21.2,10.7,10,7,842,16,27,5,1
0.9,26.0,16.3,21.2,10.7,10,7,844,9,26,15,1
0.9,26.0,16.3,21.2,10.7,10,7,4,11,42,1,0
0.9,26.0,16.3,21.2,10.7,10,7,840,18,24,3,0
0.9,26.0,16.3,21.2,10.7,10,7,20,1,36,6,0
0.9,26.0,16.3,21.2,10.7,10,7,845,12,28,3,0
0.9,26.0,16.3,21.2,10.7,10,7,817,20,34,9,0
0.0,31.7,19.6,26.3,7.6,11,7,1,1,38,131,1
0.0,31.7,19.6,26.3,7.6,11,7,20,4,36,6,1
0.0,31.7,19.6,26.3,7.6,11,7,8,3,44,6,1
0.0,31.7,19.6,26.3,7.6,11,7,817,12,34,9,1
0.0,31.7,19.6,26.3,7.6,11,7,822,2,34,131,1
0.0,31.7,19.6,26.3,7.6,11,7,842,6,27,5,1
0.0,31.7,19.6,26.3,7.6,11,7,825,9,31,210,1
0.0,31.7,19.6,26.3,7.6,11,7,4,11,42,1,1
0.0,31.7,19.6,26.3,7.6,11,7,832,5,29,4,1
0.0,31.7,19.6,26.3,7.6,11,7,154,10,37,210,1
0.0,31.7,19.6,26.3,7.6,11,7,843,8,33,5,1
0.0,31.7,19.6,26.3,7.6,11,7,807,13,36,4,1
0.0,31.7,19.6,26.3,7.6,11,7,839,18,27,10,1
0.0,31.7,19.6,26.3,7.6,11,7,815,19,33,10,1
0.0,31.7,19.6,26.3,7.6,11,7,828,14,33,15,1
0.0,31.7,19.6,26.3,7.6,11,7,845,20,28,3,1
0.0,31.7,19.6,26.3,7.6,11,7,840,15,24,3,1
0.0,31.7,19.6,26.3,7.6,11,7,838,16,31,1,0
0.0,31.7,19.6,26.3,7.6,11,7,830,7,26,9,0
0.0,31.7,19.6,26.3,7.6,11,7,844,17,26,15,0
3.9,17.5,6.3,13.6,26.7,13,8,20,2,36,6,1
3.9,17.5,6.3,13.6,26.7,13,8,1,1,38,131,1
3.9,17.5,6.3,13.6,26.7,13,8,830,7,26,9,1
3.9,17.5,6.3,13.6,26.7,13,8,822,19,34,131,1
3.9,17.5,6.3,13.6,26.7,13,8,815,4,33,10,1
3.9,17.5,6.3,13.6,26.7,13,8,839,3,27,10,1
3.9,17.5,6.3,13.6,26.7,13,8,154,5,37,210,1
3.9,17.5,6.3,13.6,26.7,13,8,825,9,31,210,1
3.9,17.5,6.3,13.6,26.7,13,8,842,10,27,5,1
3.9,17.5,6.3,13.6,26.7,13,8,828,13,33,15,1
3.9,17.5,6.3,13.6,26.7,13,8,832,14,29,4,1
3.9,17.5,6.3,13.6,26.7,13,8,845,16,28,3,1
3.9,17.5,6.3,13.6,26.7,13,8,840,17,24,3,1
3.9,17.5,6.3,13.6,26.7,13,8,843,11,33,5,1
3.9,17.5,6.3,13.6,26.7,13,8,838,18,31,1,1
3.9,17.5,6.3,13.6,26.7,13,8,817,8,34,9,0
3.9,17.5,6.3,13.6,26.7,13,8,8,6,44,6,0
3.9,17.5,6.3,13.6,26.7,13,8,844,12,26,15,0
3.9,17.5,6.3,13.6,26.7,13,8,4,15,42,1,0
3.9,17.5,6.3,13.6,26.7,13,8,807,20,36,4,0
2.0,20.4,14.3,17.4,8.2,14,9,1,3,38,131,1
2.0,20.4,14.3,17.4,8.2,14,9,8,1,44,6,1
2.0,20.4,14.3,17.4,8.2,14,9,822,4,34,131,1
2.0,20.4,14.3,17.4,8.2,14,9,20,2,36,6,1
2.0,20.4,14.3,17.4,8.2,14,9,830,5,26,9,1
2.0,20.4,14.3,17.4,8.2,14,9,839,8,27,10,1
2.0,20.4,14.3,17.4,8.2,14,9,815,14,33,10,1
2.0,20.4,14.3,17.4,8.2,14,9,832,7,29,4,1
2.0,20.4,14.3,17.4,8.2,14,9,840,10,24,3,1
2.0,20.4,14.3,17.4,8.2,14,9,845,12,28,3,1
2.0,20.4,14.3,17.4,8.2,14,9,844,15,26,15,1
2.0,20.4,14.3,17.4,8.2,14,9,838,17,31,1,1
2.0,20.4,14.3,17.4,8.2,14,9,807,20,36,4,1
2.0,20.4,14.3,17.4,8.2,14,9,842,9,27,5,1
2.0,20.4,14.3,17.4,8.2,14,9,828,18,33,15,1
2.0,20.4,14.3,17.4,8.2,14,9,825,11,31,210,1
2.0,20.4,14.3,17.4,8.2,14,9,817,19,34,9,0
2.0,20.4,14.3,17.4,8.2,14,9,4,13,42,1,0
2.0,20.4,14.3,17.4,8.2,14,9,843,16,33,5,0
2.0,20.4,14.3,17.4,8.2,14,9,154,6,37,210,0
1.5,28.5,26.6,27.8,18.4,15,9,1,1,38,131,1
1.5,28.5,26.6,27.8,18.4,15,9,830,2,26,9,1
1.5,28.5,26.6,27.8,18.4,15,9,20,3,36,6,1
1.5,28.5,26.6,27.8,18.4,15,9,822,4,34,131,1
1.5,28.5,26.6,27.8,18.4,15,9,8,5,44,6,1
1.5,28.5,26.6,27.8,18.4,15,9,817,6,34,9,1
1.5,28.5,26.6,27.8,18.4,15,9,4,11,42,1,1
1.5,28.5,26.6,27.8,18.4,15,9,832,12,29,4,1
1.5,28.5,26.6,27.8,18.4,15,9,844,13,26,15,1
1.5,28.5,26.6,27.8,18.4,15,9,807,10,36,4,1
1.5,28.5,26.6,27.8,18.4,15,9,828,14,33,15,1
1.5,28.5,26.6,27.8,18.4,15,9,838,18,31,1,1
1.5,28.5,26.6,27.8,18.4,15,9,842,15,27,5,1
1.5,28.5,26.6,27.8,18.4,15,9,840,20,24,3,1
1.5,28.5,26.6,27.8,18.4,15,9,154,8,37,210,1
1.5,28.5,26.6,27.8,18.4,15,9,815,7,33,10,1
1.5,28.5,26.6,27.8,18.4,15,9,843,17,33,5,1
1.5,28.5,26.6,27.8,18.4,15,9,825,16,31,210,1
1.5,28.5,26.6,27.8,18.4,15,9,845,19,28,3,1
1.5,28.5,26.6,27.8,18.4,15,9,839,9,27,10,0
0.4,24.3,14.4,19.5,6.2,71,9,1,2,38,131,1
0.4,24.3,14.4,19.5,6.2,71,9,822,1,34,131,1
0.4,24.3,14.4,19.5,6.2,71,9,20,3,36,6,1
0.4,24.3,14.4,19.5,6.2,71,9,8,4,44,6,1
0.4,24.3,14.4,19.5,6.2,71,9,830,19,26,9,1
0.4,24.3,14.4,19.5,6.2,71,9,817,18,34,9,1
0.4,24.3,14.4,19.5,6.2,71,9,844,7,26,15,1
0.4,24.3,14.4,19.5,6.2,71,9,825,5,31,210,1
0.4,24.3,14.4,19.5,6.2,71,9,839,6,27,10,1
0.4,24.3,14.4,19.5,6.2,71,9,815,8,33,10,1
0.4,24.3,14.4,19.5,6.2,71,9,154,9,37,210,1
0.4,24.3,14.4,19.5,6.2,71,9,807,12,36,4,1
0.4,24.3,14.4,19.5,6.2,71,9,828,10,33,15,1
0.4,24.3,14.4,19.5,6.2,71,9,4,16,42,1,1
0.4,24.3,14.4,19.5,6.2,71,9,840,14,24,3,1
0.4,24.3,14.4,19.5,6.2,71,9,838,15,31,1,1
0.4,24.3,14.4,19.5,6.2,71,9,832,11,29,4,1
0.4,24.3,14.4,19.5,6.2,71,9,845,13,28,3,1
0.4,24.3,14.4,19.5,6.2,71,9,842,17,27,5,0
0.4,24.3,14.4,19.5,6.2,71,9,843,20,33,5,0
0.0,25.4,18.0,21.3,19.9,22,10,1,1,38,131,1
0.0,25.4,18.0,21.3,19.9,22,10,822,2,34,131,1
0.0,25.4,18.0,21.3,19.9,22,10,830,3,26,9,1
0.0,25.4,18.0,21.3,19.9,22,10,817,15,34,9,1
0.0,25.4,18.0,21.3,19.9,22,10,8,4,44,6,1
0.0,25.4,18.0,21.3,19.9,22,10,20,8,36,6,1
0.0,25.4,18.0,21.3,19.9,22,10,815,9,33,10,1
0.0,25.4,18.0,21.3,19.9,22,10,154,5,37,210,1
0.0,25.4,18.0,21.3,19.9,22,10,839,11,27,10,1
0.0,25.4,18.0,21.3,19.9,22,10,832,13,29,4,1
0.0,25.4,18.0,21.3,19.9,22,10,842,7,27,5,1
0.0,25.4,18.0,21.3,19.9,22,10,828,20,33,15,1
0.0,25.4,18.0,21.3,19.9,22,10,843,6,33,5,1
0.0,25.4,18.0,21.3,19.9,22,10,4,18,42,1,1
0.0,25.4,18.0,21.3,19.9,22,10,838,19,31,1,1
0.0,25.4,18.0,21.3,19.9,22,10,845,17,28,3,1
0.0,25.4,18.0,21.3,19.9,22,10,840,14,24,3,1
0.0,25.4,18.0,21.3,19.9,22,10,844,10,26,15,0
0.0,25.4,18.0,21.3,19.9,22,10,807,16,36,4,0
0.0,25.4,18.0,21.3,19.9,22,10,825,12,31,210,0
0.0,21.2,13.3,17.4,17.7,69,10,8,2,44,6,1
0.0,21.2,13.3,17.4,17.7,69,10,830,18,26,9,1
0.0,21.2,13.3,17.4,17.7,69,10,1,1,38,131,1
0.0,21.2,13.3,17.4,17.7,69,10,20,5,36,6,1
0.0,21.2,13.3,17.4,17.7,69,10,822,3,34,131,1
0.0,21.2,13.3,17.4,17.7,69,10,807,7,36,4,1
0.0,21.2,13.3,17.4,17.7,69,10,832,11,29,4,1
0.0,21.2,13.3,17.4,17.7,69,10,815,10,33,10,1
0.0,21.2,13.3,17.4,17.7,69,10,843,20,33,5,1
0.0,21.2,13.3,17.4,17.7,69,10,828,16,33,15,1
0.0,21.2,13.3,17.4,17.7,69,10,838,17,31,1,1
0.0,21.2,13.3,17.4,17.7,69,10,842,19,27,5,1
0.0,21.2,13.3,17.4,17.7,69,10,845,14,28,3,1
0.0,21.2,13.3,17.4,17.7,69,10,840,15,24,3,1
0.0,21.2,13.3,17.4,17.7,69,10,844,9,26,15,0
0.0,21.2,13.3,17.4,17.7,69,10,817,4,34,9,0
0.0,21.2,13.3,17.4,17.7,69,10,154,8,37,210,0
0.0,21.2,13.3,17.4,17.7,69,10,4,13,42,1,0
0.0,21.2,13.3,17.4,17.7,69,10,839,6,27,10,0
0.0,21.2,13.3,17.4,17.7,69,10,825,12,31,210,0
1.9,18.6,10.8,13.7,15.8,32,10,830,2,26,9,1
1.9,18.6,10.8,13.7,15.8,32,10,20,4,36,6,1
1.9,18.6,10.8,13.7,15.8,32,10,8,6,44,6,1
1.9,18.6,10.8,13.7,15.8,32,10,1,3,38,131,1
1.9,18.6,10.8,13.7,15.8,32,10,822,5,34,131,1
1.9,18.6,10.8,13.7,15.8,32,10,807,7,36,4,1
1.9,18.6,10.8,13.7,15.8,32,10,844,9,26,15,1
1.9,18.6,10.8,13.7,15.8,32,10,838,15,31,1,1
1.9,18.6,10.8,13.7,15.8,32,10,828,10,33,15,1
1.9,18.6,10.8,13.7,15.8,32,10,842,20,27,5,1
1.9,18.6,10.8,13.7,15.8,32,10,839,11,27,10,1
1.9,18.6,10.8,13.7,15.8,32,10,840,17,24,3,1
1.9,18.6,10.8,13.7,15.8,32,10,845,19,28,3,1
1.9,18.6,10.8,13.7,15.8,32,10,843,14,33,5,1
1.9,18.6,10.8,13.7,15.8,32,10,825,16,31,210,1
1.9,18.6,10.8,13.7,15.8,32,10,154,18,37,210,1
1.9,18.6,10.8,13.7,15.8,32,10,817,1,34,9,0
1.9,18.6,10.8,13.7,15.8,32,10,815,13,33,10,0
1.9,18.6,10.8,13.7,15.8,32,10,832,8,29,4,0
1.9,18.6,10.8,13.7,15.8,32,10,4,12,42,1,0
3.3,25.4,17.7,20.5,13.0,18,11,1,1,38,131,1
3.3,25.4,17.7,20.5,13.0,18,11,830,5,26,9,1
3.3,25.4,17.7,20.5,13.0,18,11,8,4,44,6,1
3.3,25.4,17.7,20.5,13.0,18,11,817,11,34,9,1
3.3,25.4,17.7,20.5,13.0,18,11,822,3,34,131,1
3.3,25.4,17.7,20.5,13.0,18,11,20,2,36,6,1
3.3,25.4,17.7,20.5,13.0,18,11,844,7,26,15,1
3.3,25.4,17.7,20.5,13.0,18,11,154,8,37,210,1
3.3,25.4,17.7,20.5,13.0,18,11,825,10,31,210,1
3.3,25.4,17.7,20.5,13.0,18,11,815,12,33,10,1
3.3,25.4,17.7,20.5,13.0,18,11,843,16,33,5,1
3.3,25.4,17.7,20.5,13.0,18,11,832,15,29,4,1
3.3,25.4,17.7,20.5,13.0,18,11,842,9,27,5,1
3.3,25.4,17.7,20.5,13.0,18,11,838,20,31,1,1
3.3,25.4,17.7,20.5,13.0,18,11,839,18,27,10,1
3.3,25.4,17.7,20.5,13.0,18,11,845,14,28,3,1
3.3,25.4,17.7,20.5,13.0,18,11,4,17,42,1,1
3.3,25.4,17.7,20.5,13.0,18,11,840,19,24,3,1
3.3,25.4,17.7,20.5,13.0,18,11,807,13,36,4,0
3.3,25.4,17.7,20.5,13.0,18,11,828,6,33,15,0
