precipitation_sum,temperature_2m_max,temperature_2m_min,temperature_2m_mean,windspeed_10m_max,circuit_id,year,month,driver_count,results
0.0,33.5,20.5,26.7,20.2,12,2009,8,20,0
0.0,17.8,8.2,13.1,15.7,13,2009,8,20,4
3.6,25.9,14.1,20.1,9.4,14,2009,9,20,2
1.2,29.3,26.5,28.0,15.2,15,2009,9,20,2
0.0,24.9,16.0,19.6,9.7,22,2009,10,20,1
24.5,23.8,16.3,19.1,11.0,18,2009,10,20,4
0.0,35.0,20.5,28.4,18.4,24,2009,11,20,0
0.0,27.6,18.8,23.1,15.8,3,2010,3,24,1
13.8,24.9,18.3,20.3,22.0,1,2010,3,24,3
0.6,29.7,24.6,27.1,11.9,2,2010,4,24,0
7.7,21.1,14.1,16.4,26.4,17,2010,4,24,3
0.5,18.5,10.1,14.8,18.7,4,2010,5,24,2
1.4,19.2,11.0,15.3,12.2,6,2010,5,24,2
0.0,26.5,16.5,22.2,10.9,5,2010,5,24,1
0.0,24.8,12.8,19.4,11.2,7,2010,6,24,1
0.0,30.0,17.3,24.6,13.9,12,2010,6,24,2
0.1,22.1,15.5,19.2,25.7,9,2010,7,24,1
0.2,21.1,11.6,17.4,10.4,10,2010,7,24,2
0.0,27.2,15.6,21.9,11.4,11,2010,8,24,1
11.7,14.6,8.4,10.7,34.4,13,2010,8,24,3
0.0,22.7,11.6,17.9,7.6,14,2010,9,24,1
29.2,28.6,25.1,26.8,11.4,15,2010,9,24,5
0.0,24.3,19.1,21.1,24.7,22,2010,10,24,4
2.0,18.2,15.0,17.2,35.2,35,2010,10,24,7
0.1,23.3,14.5,18.4,15.3,18,2010,11,24,1
0.4,31.7,19.8,26.2,19.9,24,2010,11,24,2
0.0,20.1,12.0,15.4,14.0,1,2011,3,24,2
29.3,27.5,23.3,25.0,7.4,2,2011,4,24,3
0.0,22.3,10.1,15.5,18.0,17,2011,4,24,0
0.0,15.5,7.6,11.4,15.4,5,2011,5,24,0
0.0,25.5,13.5,20.3,13.8,4,2011,5,24,1
0.0,22.2,14.3,19.3,8.2,6,2011,5,24,4
23.5,17.3,13.3,15.3,18.7,7,2011,6,24,5
0.0,31.7,19.5,26.0,18.5,12,2011,6,24,0
0.6,20.0,11.1,15.6,10.3,9,2011,7,24,1
6.5,12.5,7.3,9.5,20.4,20,2011,7,24,1
1.9,17.2,14.2,15.6,21.6,11,2011,7,24,0
0.5,14.6,9.5,12.3,24.2,13,2011,8,24,2
0.1,26.1,20.6,23.1,6.6,14,2011,9,24,4
5.5,28.8,25.0,27.0,17.5,15,2011,9,24,3
0.0,22.5,14.4,18.7,9.4,22,2011,10,24,0
0.1,19.2,15.7,17.3,26.3,35,2011,10,24,2
0.0,29.6,15.6,22.6,9.0,68,2011,10,24,2
0.0,28.2,15.6,22.5,12.7,24,2011,11,24,0
14.4,22.9,17.6,19.5,13.5,18,2011,11,24,0
0.0,24.0,10.7,17.0,15.6,1,2012,3,24,5
10.2,29.2,23.6,25.7,10.1,2,2012,3,24,1
0.0,20.0,9.9,14.8,9.4,17,2012,4,24,0
0.0,25.5,21.0,23.8,16.8,3,2012,4,24,0
2.9,21.9,15.6,18.1,13.3,4,2012,5,24,2
3.8,20.2,15.8,18.1,8.7,6,2012,5,24,5
0.0,25.8,12.6,20.0,8.5,7,2012,6,24,0
0.0,30.8,21.7,26.1,19.8,12,2012,6,24,3
10.5,18.9,12.3,14.8,15.1,9,2012,7,24,2
0.0,19.6,10.0,15.5,13.4,10,2012,7,24,0
7.1,32.3,19.8,24.2,13.2,11,2012,7,24,0
0.0,19.2,7.3,14.5,8.5,13,2012,9,24,5
0.0,26.9,14.7,21.4,6.4,14,2012,9,24,0
4.4,28.2,25.3,26.7,12.6,15,2012,9,24,3
0.0,24.2,15.8,19.5,16.6,22,2012,10,24,2
0.0,21.9,15.0,18.0,25.4,35,2012,10,24,2
0.0,28.0,14.8,21.2,9.3,68,2012,10,24,2
0.0,33.2,21.5,27.9,21.7,24,2012,11,24,5
0.0,22.2,7.4,14.1,14.6,69,2012,11,24,0
16.2,21.7,15.1,17.9,22.4,18,2012,11,24,6
0.2,18.3,12.9,15.0,27.0,1,2013,3,22,0
5.7,29.5,23.5,26.1,8.7,2,2013,3,22,1
0.0,25.7,11.1,16.6,20.9,17,2013,4,22,2
0.0,27.7,22.9,25.8,39.5,3,2013,4,22,0
1.4,17.7,13.1,14.9,15.2,4,2013,5,22,1
0.0,16.7,9.2,13.9,10.7,6,2013,5,22,4
0.3,23.2,14.0,17.9,19.9,7,2013,6,22,3
0.0,21.2,12.2,16.4,25.2,9,2013,6,22,0
0.0,22.7,11.9,18.0,15.4,20,2013,7,22,0
0.0,34.6,20.5,28.5,16.6,11,2013,7,22,0
2.7,17.6,12.8,14.9,12.1,13,2013,8,22,1
12.5,24.1,17.3,20.5,14.2,14,2013,9,22,1
1.8,29.4,27.0,28.0,17.1,15,2013,9,22,2
0.0,24.9,21.9,23.2,22.5,35,2013,10,22,2
0.0,24.0,14.4,18.8,21.3,22,2013,10,22,2
0.0,29.4,17.1,23.2,12.3,68,2013,10,22,1
0.0,35.6,21.7,28.8,19.7,24,2013,11,22,1
0.0,29.0,21.9,24.2,19.5,69,2013,11,22,1
9.4,21.0,16.5,18.4,16.8,18,2013,11,22,1
0.8,21.2,15.8,17.7,24.8,1,2014,3,22,2
2.2,30.6,24.7,27.1,12.6,2,2014,3,22,0
0.0,24.0,19.6,22.0,23.7,3,2014,4,22,2
3.5,17.7,11.4,13.9,14.1,17,2014,4,22,0
0.0,21.3,14.4,17.5,20.6,4,2014,5,22,0
0.3,19.3,13.4,17.8,8.7,6,2014,5,22,3
0.0,27.4,14.9,21.3,13.2,7,2014,6,22,4
0.6,23.3,9.5,17.7,6.3,70,2014,6,22,0
0.0,18.5,10.8,14.8,18.4,9,2014,7,22,3
3.1,27.5,19.0,22.8,16.3,10,2014,7,22,1
7.4,27.0,18.5,22.3,14.5,11,2014,7,22,4
0.3,14.8,7.3,11.0,16.4,13,2014,8,22,0
0.0,24.5,16.3,20.3,7.3,14,2014,9,22,1
0.9,28.8,25.3,27.2,15.6,15,2014,9,22,0
54.4,21.6,18.9,20.0,36.7,22,2014,10,22,2
0.0,26.0,13.0,19.5,7.0,71,2014,10,21,0
0.0,23.3,9.9,15.9,21.1,69,2014,11,18,1
1.4,22.8,16.5,19.2,16.5,18,2014,11,18,0
0.0,30.5,16.7,23.7,17.3,24,2014,11,20,0
0.0,23.5,9.0,15.3,20.7,1,2015,3,18,1
2.6,30.5,23.8,26.9,8.9,2,2015,3,20,0
0.0,19.4,8.4,13.3,25.1,17,2015,4,20,0
0.0,26.3,22.8,24.4,30.7,3,2015,4,20,0
0.0,25.9,14.2,19.9,17.9,4,2015,5,20,1
0.2,19.0,15.7,17.4,9.8,6,2015,5,20,1
0.0,20.6,9.5,16.0,17.9,7,2015,6,20,0
0.7,16.5,7.9,12.2,8.7,70,2015,6,20,2
0.5,20.3,11.4,16.2,24.2,9,2015,7,20,3
0.0,25.7,17.0,21.6,24.5,11,2015,7,20,0
10.5,24.8,14.7,18.3,25.1,13,2015,8,20,0
0.0,22.4,11.4,17.1,9.4,14,2015,9,20,0
2.6,29.0,25.5,27.4,9.8,15,2015,9,20,1
0.0,26.2,17.4,21.2,11.5,22,2015,9,20,0
6.2,19.2,8.5,15.8,10.6,71,2015,10,20,4
12.3,18.7,15.1,16.7,30.2,69,2015,10,20,2
7.1,20.3,12.5,15.3,6.6,32,2015,11,20,2
1.2,25.1,18.2,21.2,15.4,18,2015,11,20,0
0.0,28.7,19.8,24.2,20.9,24,2015,11,20,1
0.0,21.2,11.1,16.1,17.3,1,2016,3,22,2
0.0,22.3,16.3,20.6,14.1,3,2016,4,22,0
4.4,20.9,10.7,15.2,13.2,17,2016,4,22,0
0.6,18.5,9.7,15.1,8.0,71,2016,5,22,3
0.0,19.5,12.0,16.1,14.1,4,2016,5,22,2
11.2,20.3,15.9,17.9,15.0,6,2016,5,22,5
1.3,14.9,10.6,12.3,27.1,7,2016,6,22,0
0.0,27.9,24.4,26.7,25.8,73,2016,6,22,0
0.7,14.5,10.1,13.2,6.9,70,2016,7,22,0
1.3,20.6,14.5,17.3,27.5,9,2016,7,22,0
0.1,27.8,19.1,23.4,10.4,11,2016,7,22,0
0.0,22.9,14.5,19.9,15.2,10,2016,7,22,0
0.0,24.8,14.3,20.6,20.4,13,2016,8,22,1
0.0,27.5,18.6,23.7,13.4,14,2016,9,22,0
13.4,29.1,25.4,27.3,16.3,15,2016,9,22,1
0.3,31.3,25.1,28.1,15.4,2,2016,10,22,1
0.0,20.7,14.1,17.1,27.9,22,2016,10,22,0
0.0,27.6,14.3,20.4,15.1,69,2016,10,22,1
1.6,19.6,10.2,13.5,13.8,32,2016,10,22,1
17.0,18.2,15.7,16.9,14.4,18,2016,11,22,3
0.0,30.4,18.3,24.4,20.8,24,2016,11,22,0
0.0,30.8,18.7,23.7,36.6,1,2017,3,20,0
12.5,13.2,9.8,11.4,23.9,17,2017,4,20,2
0.0,26.7,23.9,25.3,38.1,3,2017,4,20,2
0.0,25.5,14.0,19.7,7.6,71,2017,4,20,2
0.0,22.3,13.9,18.3,12.5,4,2017,5,20,1
0.0,25.0,17.8,22.4,6.8,6,2017,5,20,3
0.2,28.9,18.5,23.8,32.4,7,2017,6,20,2
0.4,27.3,22.1,24.9,28.2,73,2017,6,20,1
6.6,27.7,15.5,22.2,8.7,70,2017,7,20,0
0.4,20.1,11.5,17.6,18.4,9,2017,7,20,0
0.0,29.2,18.8,24.2,13.5,11,2017,7,20,1
0.4,23.0,14.0,18.7,8.9,13,2017,8,20,1
0.0,22.2,13.2,17.6,9.9,14,2017,9,20,0
12.5,28.7,25.1,26.5,17.9,15,2017,9,20,5
