precipitation_sum,temperature_2m_max,temperature_2m_min,temperature_2m_mean,windspeed_10m_max,circuit_id,month,year,driverId,grid,driver_age,constructor,driver_count,results
0.0,25.0,17.8,22.4,6.8,6,5,2017,836,18,29,15,20,0
0.0,25.0,17.8,22.4,6.8,6,5,2017,807,10,36,4,20,0
0.2,28.9,18.5,23.8,32.4,7,6,2017,1,1,38,131,20,1
0.2,28.9,18.5,23.8,32.4,7,6,2017,822,3,34,131,20,1
0.2,28.9,18.5,23.8,32.4,7,6,2017,817,6,34,9,20,1
0.2,28.9,18.5,23.8,32.4,7,6,2017,20,2,36,6,20,1
0.2,28.9,18.5,23.8,32.4,7,6,2017,815,8,33,10,20,1
0.2,28.9,18.5,23.8,32.4,7,6,2017,839,9,27,10,20,1
0.2,28.9,18.5,23.8,32.4,7,6,2017,8,4,44,6,20,1
0.2,28.9,18.5,23.8,32.4,7,6,2017,807,10,36,4,20,1
0.2,28.9,18.5,23.8,32.4,7,6,2017,840,17,24,3,20,1
0.2,28.9,18.5,23.8,32.4,7,6,2017,154,14,37,210,20,1
0.2,28.9,18.5,23.8,32.4,7,6,2017,835,15,32,4,20,1
0.2,28.9,18.5,23.8,32.4,7,6,2017,825,18,31,210,20,1
0.2,28.9,18.5,23.8,32.4,7,6,2017,828,19,33,15,20,1
0.2,28.9,18.5,23.8,32.4,7,6,2017,838,16,31,1,20,1
0.2,28.9,18.5,23.8,32.4,7,6,2017,836,20,29,15,20,1
0.2,28.9,18.5,23.8,32.4,7,6,2017,4,12,42,1,20,0
0.2,28.9,18.5,23.8,32.4,7,6,2017,826,11,29,5,20,0
0.2,28.9,18.5,23.8,32.4,7,6,2017,830,5,26,9,20,0
0.2,28.9,18.5,23.8,32.4,7,6,2017,13,7,42,3,20,0
0.2,28.9,18.5,23.8,32.4,7,6,2017,832,13,29,5,20,0
0.4,27.3,22.1,24.9,28.2,73,6,2017,817,10,34,9,20,1
0.4,27.3,22.1,24.9,28.2,73,6,2017,822,2,34,131,20,1
0.4,27.3,22.1,24.9,28.2,73,6,2017,840,8,24,3,20,1
0.4,27.3,22.1,24.9,28.2,73,6,2017,20,4,36,6,20,1
0.4,27.3,22.1,24.9,28.2,73,6,2017,1,1,38,131,20,1
0.4,27.3,22.1,24.9,28.2,73,6,2017,839,7,27,10,20,1
0.4,27.3,22.1,24.9,28.2,73,6,2017,825,12,31,210,20,1
0.4,27.3,22.1,24.9,28.2,73,6,2017,832,15,29,5,20,1
0.4,27.3,22.1,24.9,28.2,73,6,2017,4,19,42,1,20,1
0.4,27.3,22.1,24.9,28.2,73,6,2017,836,14,29,15,20,1
0.4,27.3,22.1,24.9,28.2,73,6,2017,828,17,33,15,20,1
0.4,27.3,22.1,24.9,28.2,73,6,2017,838,18,31,1,20,1
0.4,27.3,22.1,24.9,28.2,73,6,2017,154,16,37,210,20,1
0.4,27.3,22.1,24.9,28.2,73,6,2017,8,3,44,6,20,0
0.4,27.3,22.1,24.9,28.2,73,6,2017,815,6,33,10,20,0
0.4,27.3,22.1,24.9,28.2,73,6,2017,13,9,42,3,20,0
0.4,27.3,22.1,24.9,28.2,73,6,2017,807,13,36,4,20,0
0.4,27.3,22.1,24.9,28.2,73,6,2017,830,5,26,9,20,0
0.4,27.3,22.1,24.9,28.2,73,6,2017,826,11,29,5,20,0
0.4,27.3,22.1,24.9,28.2,73,6,2017,835,20,32,4,20,0
6.6,27.7,15.5,22.2,8.7,70,7,2017,822,1,34,131,20,1
6.6,27.7,15.5,22.2,8.7,70,7,2017,20,2,36,6,20,1
6.6,27.7,15.5,22.2,8.7,70,7,2017,817,4,34,9,20,1
6.6,27.7,15.5,22.2,8.7,70,7,2017,1,8,38,131,20,1
6.6,27.7,15.5,22.2,8.7,70,7,2017,8,3,44,6,20,1
6.6,27.7,15.5,22.2,8.7,70,7,2017,154,6,37,210,20,1
6.6,27.7,15.5,22.2,8.7,70,7,2017,815,7,33,10,20,1
6.6,27.7,15.5,22.2,8.7,70,7,2017,839,9,27,10,20,1
6.6,27.7,15.5,22.2,8.7,70,7,2017,13,17,42,3,20,1
6.6,27.7,15.5,22.2,8.7,70,7,2017,840,18,24,3,20,1
6.6,27.7,15.5,22.2,8.7,70,7,2017,835,16,32,4,20,1
6.6,27.7,15.5,22.2,8.7,70,7,2017,838,13,31,1,20,1
6.6,27.7,15.5,22.2,8.7,70,7,2017,807,11,36,4,20,1
6.6,27.7,15.5,22.2,8.7,70,7,2017,836,20,29,15,20,1
6.6,27.7,15.5,22.2,8.7,70,7,2017,828,19,33,15,20,1
6.6,27.7,15.5,22.2,8.7,70,7,2017,826,14,29,5,20,1
6.6,27.7,15.5,22.2,8.7,70,7,2017,832,10,29,5,20,0
6.6,27.7,15.5,22.2,8.7,70,7,2017,825,15,31,210,20,0
6.6,27.7,15.5,22.2,8.7,70,7,2017,4,12,42,1,20,0
6.6,27.7,15.5,22.2,8.7,70,7,2017,830,5,26,9,20,0
0.4,20.1,11.5,17.6,18.4,9,7,2017,1,1,38,131,20,1
0.4,20.1,11.5,17.6,18.4,9,7,2017,822,9,34,131,20,1
0.4,20.1,11.5,17.6,18.4,9,7,2017,8,2,44,6,20,1
0.4,20.1,11.5,17.6,18.4,9,7,2017,830,4,26,9,20,1
0.4,20.1,11.5,17.6,18.4,9,7,2017,817,19,34,9,20,1
0.4,20.1,11.5,17.6,18.4,9,7,2017,807,5,36,4,20,1
0.4,20.1,11.5,17.6,18.4,9,7,2017,20,3,36,6,20,1
0.4,20.1,11.5,17.6,18.4,9,7,2017,839,7,27,10,20,1
0.4,20.1,11.5,17.6,18.4,9,7,2017,815,6,33,10,20,1
0.4,20.1,11.5,17.6,18.4,9,7,2017,13,14,42,3,20,1
0.4,20.1,11.5,17.6,18.4,9,7,2017,838,8,31,1,20,1
0.4,20.1,11.5,17.6,18.4,9,7,2017,825,16,31,210,20,1
0.4,20.1,11.5,17.6,18.4,9,7,2017,154,10,37,210,20,1
0.4,20.1,11.5,17.6,18.4,9,7,2017,828,18,33,15,20,1
0.4,20.1,11.5,17.6,18.4,9,7,2017,826,12,29,5,20,1
